Department,Category,Statement
IT,Efforts,Recently got everyone to have webcams to help make communication more accessible to all
IT,Efforts,Feel as though they have a great diversity in their own department
IT,Efforts,Allocate their budget for continuing education or certifications for advancement with their staff assuring that people have equal access to their own needs for professional development
IT,Efforts,Making a bigger effort to use proper pronouns
IT,Efforts,"Ergonomically efficient desk spaces (keyboards, mouse, and desk capabilities)"
IT,Dept Opportunity,"Determining how to create software or protocols for physically abled employees to still be able to use all the programs we have (verbal, visual, physical ability)."
IT,Dept Opportunity,Working on creating easier access for remote workers and trying to make signing on to the server a more seamless process
IT,Org Opportunity,"Making HQ more accessible for those that might be physically disabled mentioned doors, staircases in the event of an emergency and the elevators are unable to work the front door not being button operated and the kitchenette not being able to have access with a wheelchair"
IT,Org Opportunity,Remote work is not uniform across departments and seems to be mostly dependent on the manager or VPs perception on if the persons’ job allows for remote work.
IT,Org Opportunity,"Other factors might have to take negotiating in order to be granted remote work days and having to facilitate conversations to defend their need to work remotely (financial, family, or commuting availability). "
IT,Org Opportunity,"While, other departments simply can just ask their VP for remote work and it is granted."
IT,Org Opportunity,"Political positions tend to be a topic of heated discussion, this organization identifies as a bipartisan organization but those who identify with the left/democratic/liberal side can be verbal about their beliefs and while open discussion on ones beliefs is encouraged it does take away from right/republican/conservative identifying people to feel as though they can not bring their whole selves to work for fear of retaliation and can feel as though they do not belong."
IT,Org Opportunity,The thoughts of both political sides are to be considered and valued and neither side should feel they have to hide their thoughts/beliefs for fear of exclusion from conversations or how others might perceive them. 
IT,Org Opportunity,There should be open communication but also inclusivity to all view points and for staff to be more mindful that their thoughts beliefs may be inadvertently excluding others because of this. 
Government Relations,Efforts,College organizing and youth engagement
Government Relations,Efforts,Working with more diverse communities in the context of our border work 
Government Relations,Efforts,Working to build relationships with non-traditional partners
Government Relations,Efforts,Create a two way street relationship
Government Relations,Efforts,"When hosting events, consider access"
Government Relations,Efforts,Am I creating opportunities for people to attend or creating barriers
Government Relations,Efforts,Make land acknowledgments a consistent and authentic part of events
Government Relations,Efforts,"Consider who is coming to lobby day, in-districts"
Government Relations,Efforts,Consider voices we elevate in media
Government Relations,Efforts,Completed pay equity comparisons with other organizations; continue to look at salaries
Government Relations,Dept Opportunity,Work to avoid tokenizing especially in Outreach
Government Relations,Dept Opportunity,Identify more organizations in DC to connect with
Government Relations,Dept Opportunity,"Ask about other organizations policy decisions, what issues they are prioritizing"
Government Relations,Dept Opportunity,Identify volunteer opportunities or trianings for the department
Government Relations,Dept Opportunity,Financial support for someone to attend an environmentally related conference
Government Relations,Dept Opportunity,Empowering that person to get a new skill the benefit to them helps avoid tokenizing
Government Relations,Dept Opportunity,Paid internship
Government Relations,Dept Opportunity,It became the norm within the environmental community to have unpaid internships
Government Relations,Dept Opportunity,Has the legal definition of intern changed
Government Relations,Dept Opportunity,Structured internship program so onus isn’t on individual departments but uniform across the organizations
Government Relations,Dept Opportunity,Inernship of fellowship for people of color
Government Relations,Dept Opportunity,essay contest and winner attend a conference
Government Relations,Dept Opportunity,emerging voices to highlight
Government Relations,Org Opportunity,Sending staff to colleges anduniversities directly to spread message of wildlife conservation and career opportunities
Government Relations,Org Opportunity,Rotating staff monthly
Government Relations,Org Opportunity,"Target universities, especially historically black colleges"
Government Relations,Org Opportunity,Strengthen relationships with academia
Government Relations,Org Opportunity,Touch a number of different departments; not just biology 
Government Relations,Org Opportunity,What about working with high school students? Access to education is still a barrier
Rockies and Plains,Efforts,Partnering with indigenous tribes in the northern Rockies and northern plains
Rockies and Plains,Efforts,Important to honor those projects without tokenization or for the sole benefit of Defenders
Rockies and Plains,Efforts,Important to not “use” tribes
Rockies and Plains,Efforts,Defenders has both approached tribes for collaboration and been approached by tribes
Rockies and Plains,Efforts,Attended tribal wildlife conferences and meetings as support
Rockies and Plains,Efforts,Partnership with Fort Lewis College in Durango
Rockies and Plains,Efforts,Not treating partners different than anyone else
Rockies and Plains,Efforts,"we will work with anyone, including people who don’t like bears and wolves"
Rockies and Plains,Efforts,Include all stakeholders at the table
Rockies and Plains,Efforts,Balancing the need to work with tribes with our priorities
Rockies and Plains,Efforts,Some tribal project locations may not be where we work or on the species we focus
Rockies and Plains,Efforts,Are we identifying projects for the sake of DEIJ or are these projects important for Defenders
Rockies and Plains,Dept Opportunity,Hire a tribe-focused staff member who is a Native American
Rockies and Plains,Dept Opportunity,More outreach necessary to indigenous communities and Latinx communities
Rockies and Plains,Dept Opportunity,Sheep ranchers tend to be non-white; ranch owners tend to be white
Rockies and Plains,Dept Opportunity,More opportunities for relationships with underserved communities
Rockies and Plains,Dept Opportunity,Work more comprehensively with tribes
Rockies and Plains,Dept Opportunity,representing Defenders at events and kids programs
Rockies and Plains,Dept Opportunity,outreach and education work with underserved communities
Rockies and Plains,Dept Opportunity,better help fund tribal projects
Rockies and Plains,Dept Opportunity,grants tied to DEIJ that would allow us to better support tribes
Rockies and Plains,Dept Opportunity,new donors
Rockies and Plains,Dept Opportunity,make Defenders a safe place for tribes
Rockies and Plains,Org Opportunity,Paid internships or more paid opportunities for students
Rockies and Plains,Org Opportunity,"Connecting youth with big, overarching environmental concepts like open space, wildlife"
Rockies and Plains,Org Opportunity,Important to learn understand and recognize that how some cultures define and support wildlife may be different than Defenders’ programmatic approach
Rockies and Plains,Org Opportunity,Even though our mission is clear coexistence means more than avoiding human-wildlife conflict
Rockies and Plains,Org Opportunity,Defenders can’t remain on the sidelines in the fight for social justice in the name of wildlife when the communities that we are partnering with are not all white and privileged
Rockies and Plains,Org Opportunity,Showing up for Latinx communities
Rockies and Plains,Org Opportunity,Not tokenizing groups or individuals 
Rockies and Plains,Org Opportunity,can we protest/volunteer in the name of Defenders on social justice issues
Rockies and Plains,Org Opportunity,can we influence the role of universities in building diversity in the field of wildlife biology
Rockies and Plains,Org Opportunity,weighing in on environmental policy on appropriated land
Communications,Dept Opportunity,"Done in the past but fell by the wayside, but more materials in Spanish as a starting point"
Communications,Dept Opportunity,Get in touch more with college students
Communications,Dept Opportunity,get our issues placed in more diverse outlets
Communications,Dept Opportunity,"Bar may be low financially to become a member with Defenders, but then don’t see themselves reflected on our website or in a work then we will lose them"
Communications,Dept Opportunity,Inclusivity through coexistence
Communications,Dept Opportunity,Some national polling about people’s attitudes towards wildlife and many people are terrified
Communications,Dept Opportunity,different regional attitudes
Communications,Dept Opportunity,perhaps messaging and education about wildlife helps alter this attitude
Communications,Dept Opportunity,"in the South, polling shows it as gods creatures"
Communications,Dept Opportunity,Outdoor spaces mean different things to different people
Communications,Dept Opportunity,"Need funding for new campaigns, possible issues with capacity"
Communications,Org Opportunity,Diversify the coalitions we are working with forming REAL partnerships making sure they have funding
Communications,Dept Opportunity,A mini-social media campaign to highlight volunteers. This could potentially help with retention by making volunteers feel special/noticed/ and inspire others to action
Communications,Dept Opportunity,A blog wrap-up of some of the volunteer activities seen across the different regions across the U.S.
Communications,Dept Opportunity,Blog’s that are educational maybe quizzes for elementary students
Communications,Dept Opportunity,Fact-Sheets that highlight the different regions that can be maintained on the website as some of the information will change
Communications,Dept Opportunity,Create and post fun and engaging activities on the website and share on social media
Communications,Dept Opportunity,a blog or mini social media campaign that can educate the general public about general misconceptions
Communications,Dept Opportunity,the perks of working in an environmentally focused that might attract interest from collegiate grads career
Conservation Law,Efforts,Had some diversity discussions here in Denver and one of the things that has come up is we don’t know what the organization means by diversity
Conservation Law,Efforts,We have looked up diversity statements from other organizations to include for applicants to submit when they apply for an internship with us
Conservation Law,Efforts,We have had to see how other organizations do it
Conservation Law,Efforts,Denver team has been working on the inclusion of all this in hiring
Conservation Law,Dept Opportunity,reach out directly to diversity-center groups on law campuses
Conservation Law,Dept Opportunity,diversity statement as part of application process
Conservation Law,Dept Opportunity,evaluate applicants with not just the goal with most qualified background but also consider their diverse background
Conservation Law,Dept Opportunity,people use internships to gain experience in field they might not have considered before 
Conservation Law,Dept Opportunity,"inform all interviewees that we are working towards improving our diversity and inclusion efforts say this to ALL applicants, not just those that appear diverse"
Conservation Law,Dept Opportunity,post job listings on diversity-centered groups
Conservation Law,Dept Opportunity,Being able to pay summer stipend for interns give access to students who don’t have outside funding
Conservation Law,Dept Opportunity,Expand access concepts to all of the hiring at Defenders
Conservation Law,Dept Opportunity,sponsor legal seminars on DEIJ or increasing diversity in environmental field
Conservation Law,Org Opportunity,expanding our outreach into pre-law fields to introduce people to environmental law
Conservation Law,Dept Opportunity,"host a quarterly online Q&A where pre-law students from different colleges can join in and talk to a real life enviro lawyer. This not only gets Defenders’ name out there, but also allow us to interact with more diverse youth interested in this field"
Conservation Law,Org Opportunity,Youth advisory board
Conservation Law,Org Opportunity,Diversify our actual board
Conservation Law,Org Opportunity,WE NEED TO SUPPORT DEIJ ISSUES EVEN WHEN ITS NOT IN OUR WHEEL HOUSE
Conservation Law,Org Opportunity,Staff onboarding package include this issue with onboarding include trainings for new hires in addition to current staff 
Conservation Law,Org Opportunity,training like a DEIJ conduct and sensitivity training
Conservation Law,Org Opportunity,restorative justice consultant that can mediate when someone has an issue especially when there is apower imbalance
Conservation Law,Org Opportunity,Education on how not to create difficult situations even inadvertently having an effect on people and how to handle that
Conservation Law,Org Opportunity,more education and training in how to handle difficult situations
Conservation Law,Org Opportunity,I don’t know what I’m doing in terms of how things should be handled in terms of DEIJ
Landscape Conservation,Efforts,Advocacy considerations awareness of cultural sensitivities
Landscape Conservation,Efforts,aware of programs that benefit underprivileged communities
Landscape Conservation,Efforts,At least one or two opportunities per year where we advocate for tribal funding
Landscape Conservation,Efforts,working with another group as part of renewable energy planning in Oregon to consider tribes early in process
Landscape Conservation,Efforts,Renewable energy team will no longer take unpaid interns because it is an inclusion issue
Landscape Conservation,Dept Opportunity,Adopt a dedicated funding source for interns
Landscape Conservation,Org Opportunity,"Environmental community is wealthy, elitist, and coastal - we need to do a better job connecting with rural communities"
